                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67306,                0.49405,                 1.1087,                0.65814,                0.46153,                0.52822,                0.26154,                 2.0385,                 2.2592,                 2.0417,             4.8738e-05,             4.8738e-05,             4.8738e-05
                      2,                0.68141,                0.49946,                 1.1064,                0.65413,                0.43601,                0.51824,                0.25213,                 2.1139,                 2.4191,                 2.1022,             9.5319e-05,             9.5319e-05,             9.5319e-05
                      3,                 0.7106,                  0.547,                  1.132,                0.64519,                0.46052,                0.51156,                0.24902,                 2.0527,                 2.5068,                 1.9893,             0.00013947,             0.00013947,             0.00013947
                      4,                0.72351,                0.55818,                 1.1355,                0.61616,                0.45825,                0.48449,                0.24429,                 2.0625,                 2.5525,                 2.0431,             0.00013609,             0.00013609,             0.00013609
                      5,                 0.7312,                0.57662,                 1.1463,                0.55296,                0.50714,                0.52144,                0.26542,                 2.0034,                 2.4666,                 1.9995,             0.00013609,             0.00013609,             0.00013609
                      6,                0.74099,                0.57775,                 1.1514,                0.59635,                0.47331,                 0.4815,                0.23291,                 2.1151,                  2.515,                 2.0463,             0.00013245,             0.00013245,             0.00013245
                      7,                0.72211,                0.56027,                  1.139,                0.56675,                  0.519,                0.51016,                0.25865,                 2.0315,                  2.423,                 1.9533,             0.00012881,             0.00012881,             0.00012881
                      8,                0.71931,                0.55133,                 1.1387,                0.62414,                0.44402,                0.48587,                 0.2444,                 2.1122,                 2.4443,                 2.0647,             0.00012517,             0.00012517,             0.00012517
                      9,                0.71959,                0.55924,                 1.1377,                0.58626,                0.47132,                0.48867,                0.24583,                 2.0679,                 2.4308,                 2.0669,             0.00012153,             0.00012153,             0.00012153
                     10,                0.72995,                0.56462,                 1.1437,                 0.6043,                0.48044,                0.50151,                0.25017,                 2.0829,                  2.468,                 2.0309,             0.00011789,             0.00011789,             0.00011789
                     11,                0.71598,                0.54728,                 1.1274,                0.64031,                0.41464,                0.47366,                0.23791,                 2.1167,                 2.4291,                 2.0282,             0.00011426,             0.00011426,             0.00011426
                     12,                0.71437,                0.55369,                 1.1282,                0.65639,                0.42151,                0.49242,                0.24425,                 2.0913,                 2.4567,                 2.0638,             0.00011062,             0.00011062,             0.00011062
                     13,                0.72212,                0.54399,                 1.1337,                0.65666,                0.42244,                0.47226,                0.23848,                 2.0593,                  2.511,                 2.0359,             0.00010698,             0.00010698,             0.00010698
                     14,                0.70113,                0.54153,                 1.1256,                0.66076,                0.44349,                0.51867,                0.25627,                 2.0453,                 2.4373,                 2.0419,             0.00010334,             0.00010334,             0.00010334
                     15,                0.69561,                0.53227,                  1.122,                0.63299,                0.47076,                0.48103,                0.24839,                 2.0297,                 2.3291,                 2.0126,             9.9703e-05,             9.9703e-05,             9.9703e-05
                     16,                0.68861,                0.51253,                 1.1142,                0.63772,                0.45189,                0.48804,                0.24206,                 2.0612,                 2.5311,                 2.0482,             9.6064e-05,             9.6064e-05,             9.6064e-05
